route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
1 39A c a,284,5901_10910,UCD,17252,1,5901_7778195_7039002,5901_233
1 39A c a,284,5901_10916,UCD,17026,1,5901_7778195_7039012,5901_234
1 39A c a,284,5901_10919,UCD,16952,1,5901_7778195_7039004,5901_233
1 39A c a,284,5901_10924,UCD,16973,1,5901_7778195_7039036,5901_235
1 39A c a,284,5901_10929,UCD,17195,1,5901_7778195_7039022,5901_233
1 39A c a,284,5901_10932,UCD,17135,1,5901_7778195_7039026,5901_233
1 39A c a,284,5901_10937,UCD,16941,1,5901_7778195_7039043,5901_235
1 39A c a,284,5901_10938,UCD,16983,1,5901_7778195_7039039,5901_233
1 39A c a,284,5901_10942,UCD,16966,1,5901_7778195_7039034,5901_233
1 39A c a,284,5901_10948,UCD,17231,1,5901_7778195_7039003,5901_234
1 39A c a,284,5901_10950,UCD,17219,1,5901_7778195_7039006,5901_233
1 39A c a,284,5901_10957,UCD,17015,1,5901_7778195_7039048,5901_234
1 39A c a,284,5901_10959,UCD,17176,1,5901_7778195_7039025,5901_233
1 39A c a,284,5901_10962,UCD,17008,1,5901_7778195_7039008,5901_233
1 39A c a,284,5901_10967,UCD,17254,1,5901_7778195_7039002,5901_234
1 39A c a,284,5901_10972,UCD,17028,1,5901_7778195_7039012,5901_234
1 39A c a,284,5901_10974,UCD,16975,1,5901_7778195_7039036,5901_233
1 39A c a,284,5901_10981,UCD,17197,1,5901_7778195_7039022,5901_233
1 39A c a,284,5901_10983,UCD,17137,1,5901_7778195_7039026,5901_233
1 39A c a,284,5901_10987,UCD,16985,1,5901_7778195_7039039,5901_234
1 39A c a,284,5901_10993,UCD,17017,1,5901_7778195_7039048,5901_233
1 39A c a,284,5901_10995,UCD,17178,1,5901_7778195_7039025,5901_233
1 39A c a,284,5901_11000,UCD,16957,1,5901_7778195_7039049,5901_235
1 39A c a,284,5901_11003,UCD,16977,1,5901_7778195_7039036,5901_234
1 39A c a,284,5901_11007,UCD,17139,1,5901_7778195_7039026,5901_233
1 39A c a,284,5901_11011,UCD,16987,1,5901_7778195_7039039,5901_234
1 39A c a,284,5901_11016,UCD,17019,1,5901_7778195_7039048,5901_233
1 39A c a,284,5901_11019,UCD,17180,1,5901_7778195_7039025,5901_233
1 39A c a,284,5901_11024,UCD,16959,1,5901_7778195_7039049,5901_235
1 40D c a,284,5901_11572,Tyrrelstown,17849,0,5901_7778195_8040004,5901_244
1 40D c a,284,5901_11575,Tyrrelstown,17832,0,5901_7778195_8040006,5901_244
1 40D c a,284,5901_11576,Tyrrelstown,17866,0,5901_7778195_8040008,5901_244
1 40D c a,284,5901_11580,Tyrrelstown,17868,0,5901_7778195_8040010,5901_244
1 40D c a,284,5901_11581,Tyrrelstown,17883,0,5901_7778195_8040013,5901_244
1 40D c a,284,5901_11584,Tyrrelstown,17841,0,5901_7778195_8040003,5901_244
1 40D c a,284,5901_11586,Tyrrelstown,18046,0,5901_7778195_8040005,5901_244
1 40D c a,284,5901_11588,Tyrrelstown,17853,0,5901_7778195_8040009,5901_244
1 40D c a,284,5901_11591,Tyrrelstown,17894,0,5901_7778195_8040015,5901_244
1 40D c a,284,5901_11594,Tyrrelstown,17862,0,5901_7778195_8040011,5901_244
1 40D c a,284,5901_11597,Tyrrelstown,17893,0,5901_7778195_8040014,5901_244
1 40D c a,284,5901_11599,Tyrrelstown,17851,0,5901_7778195_8040004,5901_244
1 40D c a,284,5901_11603,Tyrrelstown,17834,0,5901_7778195_8040006,5901_244
1 40D c a,284,5901_11606,Tyrrelstown,17899,0,5901_7778195_8040016,5901_244
1 40D c a,284,5901_11610,Tyrrelstown,17888,0,5901_7778195_8040017,5901_244
1 40D c a,284,5901_11613,Tyrrelstown,17915,0,5901_7778195_8040021,5901_244
1 40D c a,284,5901_11618,Tyrrelstown,17863,0,5901_7778195_8040023,5901_244
1 40D c a,284,5901_11619,Tyrrelstown,17908,0,5901_7778195_8040019,5901_244
1 40D c a,284,5901_11624,Tyrrelstown,17823,0,5901_7778195_8040022,5901_244
